Date,SPX,Qi
2015-01-01,2058.9,100
2015-01-02,2058.2,99.83807745
2015-01-05,2020.58,97.80765506
2015-01-06,2002.61,96.72654505
2015-01-07,2025.9,97.72045795
2015-01-08,2062.14,99.38514017
2015-01-09,2044.81,98.42011991
2015-01-12,2028.26,97.7245796
2015-01-13,2023.03,97.4167793
2015-01-14,2011.27,96.77421059
2015-01-15,1992.67,95.57901891
2015-01-16,2019.42,96.88522553
2015-01-20,2022.55,96.99401941
2015-01-21,2032.12,97.4767082
2015-01-22,2063.15,99.06894875
2015-01-23,2051.82,98.61620899
2015-01-26,2057.09,98.79039602
2015-01-27,2029.55,97.21065682
2015-01-28,2002.16,95.71181366
2015-01-29,2021.25,96.55934289
2015-01-30,1994.99,95.41138928
2015-02-02,2020.85,96.87374433
2015-02-03,2050.03,98.58538098
2015-02-04,2041.51,98.47518076
2015-02-05,2062.52,99.66231322
2015-02-06,2055.47,99.64308282
2015-02-09,2046.74,99.39983173
2015-02-10,2068.59,100.4071745
2015-02-11,2068.53,100.5365133
2015-02-12,2088.48,101.6014886
2015-02-13,2096.99,102.3446905
2015-02-17,2100.34,102.7991078
2015-02-18,2099.68,102.4739433
2015-02-19,2097.45,102.6239668
2015-02-20,2110.3,103.1479405
2015-02-23,2109.66,102.9889354
2015-02-24,2115.48,103.268476
2015-02-25,2113.86,103.0638132
2015-02-26,2110.74,102.7224282
2015-02-27,2104.5,102.3328505
2015-03-02,2117.39,103.2977886
2015-03-03,2107.78,102.9119815
2015-03-04,2098.53,102.4762272
2015-03-05,2101.04,102.5593134
2015-03-06,2071.26,101.4234468
2015-03-09,2079.43,101.7619012
2015-03-10,2044.16,99.95588695
2015-03-11,2040.24,99.83059002
2015-03-12,2065.95,101.0668668
2015-03-13,2053.4,100.4251204
2015-03-16,2081.19,101.5163751
2015-03-17,2074.28,101.1084316
2015-03-18,2099.5,102.3729216
2015-03-19,2089.27,101.4884857
2015-03-20,2108.1,102.6848057
2015-03-23,2104.42,102.4234496
2015-03-24,2091.5,101.6989164
2015-03-25,2061.05,100.176633
2015-03-26,2056.15,100.2467447
2015-03-27,2061.02,100.4443613
2015-03-30,2086.24,101.6853414
2015-03-31,2067.89,100.7217427
2015-04-01,2059.69,100.2346758
2015-04-02,2066.96,100.6885601
2015-04-06,2080.62,101.4237991
2015-04-07,2076.33,101.3893878
2015-04-08,2081.9,101.4449494
2015-04-09,2091.18,102.2424744
2015-04-10,2102.06,103.0111577
2015-04-13,2092.43,102.5033555
2015-04-14,2095.84,102.726472
2015-04-15,2106.63,103.4368662
2015-04-16,2104.99,103.2784546
2015-04-17,2081.18,102.0982365
2015-04-20,2100.4,103.0646286
2015-04-21,2097.29,102.5159223
2015-04-22,2107.96,103.2170975
2015-04-23,2112.93,103.6707847
2015-04-24,2117.69,103.8489301
2015-04-27,2108.92,103.7804345
2015-04-28,2114.76,104.1364677
2015-04-29,2106.85,103.8232993
2015-04-30,2085.51,102.788078
2015-05-01,2108.29,103.8846139
2015-05-04,2114.49,104.1951402
2015-05-05,2089.46,102.952657
2015-05-06,2080.15,102.4290609
2015-05-07,2088,102.7902462
2015-05-08,2116.1,104.2732101
2015-05-11,2105.33,103.7570185
2015-05-12,2099.12,103.4789073
2015-05-13,2098.48,103.417176
2015-05-14,2121.1,104.6077728
2015-05-15,2122.73,104.5764667
2015-05-18,2129.2,104.7805161
2015-05-19,2127.83,104.8104614
2015-05-20,2125.85,104.8247221
2015-05-21,2130.82,105.2026108
2015-05-22,2126.06,104.9973027
2015-05-26,2104.2,103.8193536
2015-05-27,2123.48,104.7694418
2015-05-28,2120.79,104.7214286
2015-05-29,2107.39,103.9513781
2015-06-01,2111.73,104.1987004
2015-06-02,2109.6,104.2241048
2015-06-03,2114.07,104.5193872
2015-06-04,2095.84,103.5540087
2015-06-05,2092.83,103.2761003
2015-06-08,2079.28,102.655538
2015-06-09,2080.15,102.6078948
2015-06-10,2105.2,103.9361095
2015-06-11,2108.86,104.0020086
2015-06-12,2094.11,103.1927881
2015-06-15,2084.43,102.6964891
2015-06-16,2096.29,103.2355207
2015-06-17,2100.44,103.4161437
2015-06-18,2121.24,104.4484949
2015-06-19,2109.99,103.8363652
2015-06-22,2122.85,104.4408336
2015-06-23,2124.2,104.4458201
2015-06-24,2108.58,103.5565309
2015-06-25,2102.31,103.1985405
2015-06-26,2101.49,103.1383733
2015-06-29,2057.64,100.9268689
2015-06-30,2063.11,101.4262744
2015-07-01,2077.42,101.8850989
2015-07-02,2076.78,101.7212309
2015-07-06,2068.76,101.3412767
2015-07-07,2081.34,101.818709
2015-07-08,2046.68,100.0981161
2015-07-09,2051.31,100.3059789
2015-07-10,2076.62,101.4637338
2015-07-13,2099.6,102.6488445
2015-07-14,2108.95,103.2105188
2015-07-15,2107.4,103.2401977
2015-07-16,2124.29,104.3115286
2015-07-17,2126.64,104.7496148
2015-07-20,2128.28,104.8232848
2015-07-21,2119.21,104.3496853
2015-07-22,2114.15,104.2655386
2015-07-23,2102.15,103.6417532
2015-07-24,2079.65,102.0945941
2015-07-27,2067.64,101.6301287
2015-07-28,2093.25,103.1038
2015-07-29,2108.57,103.8387549
2015-07-30,2108.63,103.8907819
2015-07-31,2103.84,103.3391417
2015-08-03,2098.04,102.8866102
2015-08-04,2093.32,102.6959283
2015-08-05,2099.84,102.8904692
2015-08-06,2083.56,102.3247406
2015-08-07,2077.57,101.8657566
2015-08-10,2104.18,103.2069454
2015-08-11,2084.07,102.0825607
2015-08-12,2086.05,102.1865325
2015-08-13,2083.39,101.8803506
2015-08-14,2091.54,102.2707002
2015-08-17,2102.44,102.7250921
2015-08-18,2096.92,102.3667641
2015-08-19,2079.61,101.244248
2015-08-20,2035.73,99.01024024
2015-08-21,1970.89,96.10883172
2015-08-24,1893.21,92.15036975
2015-08-25,1867.61,90.80542678
2015-08-26,1940.51,94.30638212
2015-08-27,1987.66,96.85166451
2015-08-28,1988.87,97.07061977
2015-08-31,1972.18,96.11264603
2015-09-01,1913.85,93.18867785
2015-09-02,1948.86,94.92032123
2015-09-03,1951.13,95.03039589
2015-09-04,1921.22,93.39998683
2015-09-08,1969.41,95.67022198
2015-09-09,1942.04,94.21616135
2015-09-10,1952.29,94.65046407
2015-09-11,1961.05,95.15576171
2015-09-14,1953.03,94.63003397
2015-09-15,1978.09,95.90552498
2015-09-16,1995.31,97.03446904
2015-09-17,1990.2,96.5651914
2015-09-18,1958.03,94.79584844
2015-09-21,1966.97,95.29808407
2015-09-22,1942.74,94.16747809
2015-09-23,1938.76,93.86355882
2015-09-24,1932.24,93.52227862
2015-09-25,1931.34,93.42778995
2015-09-28,1881.77,91.2001258
2015-09-29,1884.09,91.59343434
2015-09-30,1920.03,93.37238553
2015-10-01,1923.82,93.47166653
2015-10-02,1951.36,95.09697619
2015-10-05,1987.05,97.08960657
2015-10-06,1979.92,97.25519719
2015-10-07,1995.83,98.38020856
2015-10-08,2013.43,99.3194794
2015-10-09,2014.89,99.44736365
2015-10-12,2017.46,99.51995615
2015-10-13,2003.69,98.9141375
2015-10-14,1994.24,98.43400555
2015-10-15,2023.86,99.86632167
2015-10-16,2033.11,100.3155727
2015-10-19,2033.66,100.3006044
2015-10-20,2030.77,100.2992192
2015-10-21,2018.94,100.0831642
2015-10-22,2052.51,102.447669
2015-10-23,2075.15,103.3829979
2015-10-26,2071.18,102.8244176
2015-10-27,2065.89,102.6079949
2015-10-28,2090.35,104.4179146
2015-10-29,2089.41,104.2273054
2015-10-30,2079.36,103.683151
2015-11-02,2104.05,105.5523558
2015-11-03,2109.79,105.9959875
2015-11-04,2102.31,105.5967402
